Analyzed file: THE TRAGEDY OF HAMLET PRINCE OF DENMARK.txt
word | frequency
  anothers |          1
   purples |          1
    supper |          2
      pair |          2
     equal |          2
     wrung |          1
    canker |          2
    marvel |          1
   tenders |          3
 dishonour |          2
      paid |          1
     short |          5
thereabout |          1
  imitated |          1
   fencing |          1
blastments |          1
      pall |          1
      palm |          2
    unholy |          1
   hamlets |         10
    extant |          1
    trains |          1
     three |          9
 ungartred |          1
    golden |          3
    season |          6
      bier |          1
     enter |         73
      pale |          8
    batten |          1
   flowers |          3
  groaning |          1
   players |         23
 entreated |          1
    wretch |          3
   destroy |          2
   goodman |          1
 mightyyou |          1
   provide |          1
  thirties |          1
      afar |          2
columbines |          1
   sorrows |          1
      fust |          1
   whereon |          5
enterprise |          2
   unknown |          2
accidental |          1
       lot |          1
   planets |          1
       low |          1
    angels |          3
    assurd |          2
    assure |          1
  gracious |          6
tropically |          1
    merely |          2
   manners |          2
     meant |          4
    wealth |          1
     means |         20
   betterd |          1
     rusty |          1
    centre |          1
    gainst |          4
      dole |          1
     blown |          2
   niggard |          1
    calves |          1
     cains |          1
  persever |          1
   eternal |          2
     aught |         10
 annexment |          1
    fellow |         10
     fetch |          2
   candied |          1
unworthiest |          1
  unmatchd |          1
      clip |          1
 commanded |          1
      door |          5
     quick |          8
   mazzard |          1
   compact |          1
  needfull |          1
    speedy |          1
      doom |          1
      tell |         43
possession |          1
   husband |          8
 purgation |          1
 proclaimd |          1
    flames |          2
     gules |          1
     merry |          2
  blasting |          1
 daughters |          1
     shows |          8
    denote |          1
     shown |          2
  infusion |          1
      zone |          1
celebrated |          1
    exhort |          1
    affair |          4
   majesty |         16
       day |         21
     keeps |          4
combination |          1
  trumpets |          3
     stayd |          3
  drinking |          1
    harrow |          1
   minutes |          1
     moons |          1
particular |          8
  unkennel |          1
      done |         22
     water |          6
     pause |          4
     stays |          1
    formal |          1
  berattle |          1
pigeonliverd |          1
  barefacd |          1
 proclaims |          2
      ease |          4
      tent |          1
      part |         25
  jealousy |          2
   radiant |          1
      tend |          4
   guarded |          1
exceedingly |          1
      east |          1
 declining |          1
   hearers |          2
   sixteen |          1
   cyclops |          1
    relief |          1
    hinges |          1
    wildly |          2
   thither |          3
carbuncles |          1
   whereto |          4
   revenge |         12
     built |          1
 subscribd |          1
liberalconceited |          1
   revengd |          3
calveskins |          1
   heavily |          1
fellowship |          2
   priests |          1
   capitol |          1
chamberlain |          1
      ears |          9
     third |          3
confession |          3
     build |          1
    kingly |          1
   further |         12
       luc |          1
threeandtwenty |          1
 downgyved |          1
   fitting |          1
   demands |          2
     corse |          3
       lug |          1
   dearest |          2
      dost |         14
contracted |          1
    smiles |          1
     fiery |          3
   matrons |          1
 ambiguous |          1
    beasts |          2
      doth |         28
      path |          1
     crack |          1
     finds |          3
      pate |          4
       dew |          3
journeymen |          1
adulterate |          1
apparition |          2
 carefully |          1
     going |          3
      pass |          6
      past |          3
  mourning |          1
      milk |          1
     strew |          1
 tributary |          1
     whose |         32
      easy |          2
     buyer |          1
    jester |          1
tragicalcomicalhistoricalpastoral |          1
      eats |          2
     fines |          2
indirections |          1
gravemakers |          1
  relative |          1
shrillsounding |          1
    behove |          1
   compare |          1
      dout |          1
    bodies |          5
   virtues |          2
investments |          1
     feats |          1
   espials |          1
  adoption |          1
      dove |          2
     grass |          1
      term |          2
  roughhew |          1
      mine |         31
      mind |         12
ambassadors |          6
  business |         11
   forbear |          1
     staff |          1
     right |         11
  possible |          4
     shoes |          2
  stealing |          1
obsequious |          1
   touches |          1
retrograde |          1
     stage |          5
      inch |          1
     under |          5
    desert |          2
       did |         66
       die |          7
   oerstep |          1
       dig |          2
 perdition |          1
  conceald |          1
       dip |          1
      down |         29
     fears |          2
  wretched |          4
     habit |          4
    brings |          1
      bird |          2
 forgotten |          1
    lunacy |          2
    seated |          1
 enviously |          1
     brows |          2
   seasons |          1
   suiting |          1
   puzzles |          1
      test |          1
      bray |          1
     straw |          2
   hideous |          2
     feast |          3
  parching |          1
     month |          4
 occasions |          1
 inoculate |          1
     acres |          1
    truant |          2
  distract |          1
   colours |          1
  occasion |          4
      loan |          1
    rather |          5
unproportiond |          1
      back |          8
    worthy |          1
   arraign |          1
     whore |          1
     whord |          1
      miss |          1
  delights |          3
      awry |          1
     pales |          1
    sheets |          1
     pound |          1
      load |          1
   company |          1
   applaud |          1
      loam |          2
    prince |          5
    unyoke |          1
    custom |          9
   ecstasy |          4
    length |          4
    priest |          4
      babe |          1
     grand |          1
 interpret |          1
   faction |          1
      baby |          2
  blossoms |          1
     feard |          1
   blanket |          1
     grant |          1
  articles |          1
   showing |          1
      pays |          1
  brothers |          9
 dispatchd |          1
oerreaches |          1
     opend |          1
   convert |          2
    verity |          1
     thick |          3
    relish |          2
     stale |          1
     stalk |          1
   whereat |          1
    goodly |          3
      lock |          2
     darst |          1
    signet |          1
     fools |          2
     puffd |          2
    dearly |          2
   letters |          9
      fear |         20
     lying |          1
      dozy |          1
      made |         30
   torrent |          1
     sense |         13
     being |         12
      bade |          1
quintessence |          1
     field |          1
    plucks |          2
  contents |          1
 qualifies |          1
     curse |          1
       dog |          2
  nobility |          1
    touchd |          1
 imperious |          1
    serves |          2
       dot |          9
      skin |          1
     stamp |          2
     pours |          2
     bands |          2
       mad |         21
  scrimers |          1
     known |          8
    stream |          1
     pourd |          1
    oertop |          1
    herald |          1
  blackest |          1
       man |         52
     stand |         15
   leisure |          4
concernancy |          1
     knowt |          1
       mar |         32
     knows |          4
    twenty |          3
      inky |          1
       may |         71
insinuation |          1
   forward |          3
     lacks |          1
     blest |          2
     bless |          3
   ourself |          3
    parley |          1
     yesty |          1
marvellous |          1
  bernardo |          9
   princes |          1
     lackd |          1
  statutes |          1
     dulls |          1
    sweets |          1
   warlike |          5
    scopes |          1
   reformd |          1
    unseen |          3
    incest |          1
      feet |          2
      bait |          1
    sprung |          1
   subject |          3
       use |         16
       usd |          2
      feel |          1
      main |          4
   sadness |          1
tragicalhistorical |          1
   revenue |          1
     lungs |          2
      maid |          6
 residence |          1
     likes |          3
     cries |          5
     waste |          1
cheerfully |          2
     brook |          2
    comedy |          2
   bearing |          1
       dry |          3
  pressure |          1
  poisoned |          1
     brood |          1
     crier |          1
   becomes |          3
messengers |          2
      feed |          6
     staid |          1
   martial |          1
directions |          1
   compass |          1
     lists |          1
    bonnet |          1
  poisoner |          2
    thoult |          1
  handsome |          1
     fannd |          1
      twas |          4
     stair |          1
 senseless |          2
  conceive |          1
tenantless |          1
    wagerd |          1
 commended |          1
    augury |          1
    breath |          9
    napkin |          1
  reckless |          1
consonancy |          1
       men |         12
    hither |          8
   paradox |          1
   threats |          1
    clouts |          1
      cups |          1
      make |         55
       met |          1
       mew |          1
     palmy |          1
    wicked |          6
   opposed |          1
    rebuke |          1
  combated |          1
    watchd |          1
    waving |          1
  speeches |          1
   exactly |          1
    gentry |          2
admittance |          1
     stake |          1
   witness |          2
    chough |          1
       due |          1
 graveness |          1
      bakd |          2
       dug |          1
    romage |          1
     lodge |          1
     lodgd |          1
    unseal |          1
    breast |          1
     mercy |          4
     dotes |          1
    inform |          2
    enters |          1
hoodmanblind |          1
    dearth |          1
     about |         18
  wilfully |          1
      curd |          1
    sorrow |          6
      cure |          1
    danger |          5
      curb |          1
   decayer |          1
     crash |          1
     patch |          2
 character |          2
      bank |          1
concernings |          1
      brow |          3
   meaning |          1
   juggled |          1
